DB_id,company_name,settlement,county,country,notes
-723011059,William McCalmont,Larne,Antrim,Ireland,
-721856166,Redmond Bros.,Enniscorthy,Wexford,Ireland,
-719444603,J. M'Lornan and Co.,Belfast,,Ireland,
-711124969,John Bolster,Cork,,Ireland,
-675006118,S. H. Cowell,London,,England,
-666255505,Cois Life Teo,Dublin,,Ireland,
-663776921,Pattison Jolly,Dublin,,Ireland,
-662847323,Louis Clear,Dublin,,Ireland,
-636534926,Thos. Johnstone,Belfast,,Ireland,
-630373392,W. Minshull,Chester,,England,
-623578392,Cahill and Co.,Dublin,,Ireland,
-608521276,John F. Fowler,Dublin,,Ireland,
-607860246,UCC Centre for Adult and Continuing Education,Cork,,Ireland,
-602104994,J. Wright,London,,England,
-600231954,Clays Ltd,St Ives,,England,
-599879375,W. Flint,London,,England,
-578119516,Frederick Press,Dublin,,Ireland,
-553707236,Porteous and Gibbs,Dublin,,Ireland,
-512564781,Tower Press,Dublin,,Ireland,
-509327589,Talbot Press,Dublin,,Ireland,
-498125223,E. Livermore,London,,England,
-485016201,A. Strahan,London,,England,
-478523056,J. Payne,Norwich,Norfolk,England,
-462816772,D. and A. O'Leary Ltd.,Cork,,Ireland,
-450061189,Vail-Ballou Press Inc.,Birmingham,New York,USA,
-430856097,Robert Crawford,Lurgan,Armagh,Ireland,
-419164699,E. Thomas,London,,England,
-416495600,Godwin and Nelthercroft,Dublin,,Ireland,
-412847561,Stevenson and Matchett,Norwich,Norfolk,England,
-382358159,W. Myers,London,,England,
-381552818,Woodpark Printing Ltd.,Dublin,,Ireland,
-348728390,Robert Hogg,Shannon,Limerick,Ireland,
-346374985,Alex. Stewart,Dublin,,Ireland,
-330451502,"J. Haly, M. Harris, & J. Connor",Cork,,Ireland,
-325238569,Citron Press,London,,England,
-325150810,E. Thomas,London,,England,
-324106684,J.J. Carrick,Dublin,,Ireland,
-309566575,J. Dean,London,,England,
-298500817,J. Smith,Paris,,France,
-288918496,The Anchor Press Ltd.,London,,England,
-285539193,Thomas and John Coldwell,Dublin,,Ireland,
-264677043,Nationalist Press,Clonmel,Tipperary,Ireland,
-242547626,W. and C. Spilsbury,London,,England,
-240502312,The Goldsmith Press,Castleknock,Dublin,Ireland,
-206233392,W. Pechin & S. Sower,New York,,USA,
-205885270,Chiswick Press,London,,England,
-190903281,Harcourt Press,Dublin,,Ireland,
-189057489,W.G. Baird Ltd.,Antrim,,Ireland,
-182052263,J. Connor,Cork,,Ireland,
-177273531,MPG Books Ltd,,Cornwall,England,
-173217212,Sampson Low,London,,England,
-161471473,A. Redford,London,,England,
-157335432,J. Hodson,Cambridge,,England,
-142368120,W. Wilfred Head,London,,England,
-136671577,Universities Press (Belfast) Ltd.,Belfast,,Ireland,
-136267731,James Ballantyne and Co.,Edinburgh,,Scotland,
-119729406,S. Tibson,London,,England,
-104524928,Ashford Press,Ballagh,Limerick,Ireland,
-91519762,Hely's,Dublin,,Ireland,
-88837556,Ja. Robbins,Winchester,,England,
-72670519,J.W. Boyd,Belfast,,Ireland,
-69082292,Pear Tree Press,Petersfield,Hampshire,England,
-67420739,Tower Books,Cork,,Ireland,
-66489167,50 O'Connell Street,Waterford,,Ireland,
-53565521,M.H. Gill,Dublin,,Ireland,
-25027243,City Printing Works,Cork,,Ireland,
-5239575,Typographic Total Abstinence Society,Dublin,,Ireland,
-4321220,T. Collins,London,,England,
21444530,Alden Press,Oxford,,England,
30733294,William Clowes & Sons,London,,England,
39479298,A. Bolton,Sligo,,Ireland,
50608157,Clark and Hope,Belfast,,Ireland,
68655355,John English and Co.,Wexford,,Ireland,
96436427,Abbey Printers Ltd,Cavan,,Ireland,
112098614,Eagle Printing Works Ltd.,Blarney,Cork,Ireland,
113048422,R. Snare and Co.,Reading,,England,
120170238,Graphic 3,Belfast,,Ireland,
151652513,S. Y. Griffith,Cheltenham,Gloucestershire,England,
177730008,Vernor and Hood,London,,England,
184474014,Houlston & Son,London,,England,
213934535,"Southern Star, Ltd.",Skibbereen,Cork,Ireland,
216285559,D. Chalmers and Co.,Aberdeen,,Scotland,
235109425,"John Aiken and Son, Ltd.",Belfast,,Ireland,
235649776,"John Aitken and Son, Ltd.",Lisburn,Antrim,Ireland,
241446135,W.B. Kelly,Dublin,,Ireland,
257717997,John Dean,London,,England,
259622386,Eagle Printing,Cork,,Ireland,
260562913,John Henderson,Belfast,,Ireland,
271105263,Kilkenny People Printer Ltd.,,Kilkenny,Ireland,
274736953,H. Rowe,London,,England,
282501576,2-3 Yarnall Street,Dublin,,Ireland,
292721766,G. Wood,London,,England,
306744503,O'Gorman Ltd.,Galway,Galway,Ireland,
315359382,R. Lloyd,Cardiff,,Wales,
322066999,Connacht Tribune,Galway,,Ireland,
339875426,J.A. Carroll,Kilrush,Clare,Ireland,
346555668,Warren,Faversham,,England,
356267717,The Colonial Press,New York,,USA,
361303623,"Alex Thom and Co., Ltd.",Dublin,,Ireland,
374788397,Turner's Printing Co.,Longford,Longford,Ireland,
387538383,Alfa Print Ltd.,Athlone,Westmeath,Ireland,
393294570,Anglo-Celt Ltd.,Cavan,Cavan,Ireland,
417048745,Wm. Sweeney,Belfast,,Ireland,
424038746,R. Cruttwell,Bath,,England,
425890986,Ponsonby and Murphy,Dublin,,Ireland,
433460315,R. Smith,Dublin,,Ireland,
454455544,Purnell & Sons Ltd.,Somerset,,England,
458668597,Studio Printers,Athboy,,Ireland,
469610387,Morgan Jellet,Belfast,,Ireland,
472817403,Criterion Press,Dublin,,Ireland,
487976664,Joseph Robins Jun.,Dublin,,Ireland,
502393752,R. & S. Printers,Monaghan,,Ireland,
507116347,Denis Hoban,Dublin,,Ireland,
508770162,Clio Rickman,London,,England,
510038509,William O'Brien,Dublin,,Ireland,
556538784,Spectator,Bangor,Down,Ireland,
557050079,S. Hazard,Bath,,England,
558268558,J.M. O'Toole,Dublin,,Ireland,
582964844,Christopher Bentham,Dublin,,Ireland,
597269057,T. Mark,Leek,,England,
606599805,A. Fagin,Philadelphia,Pennsylvania,USA,
665080478,J. Roberts,Gloucester,,England,
667244901,The Earlsfort Press Ltd.,Dublin,,Ireland,
677208354,Clo na Rosann Teo.,Gaoth Dobhair,Donegal,Ireland,
691271563,Brindley and Son,Dublin,,Ireland,
693004761,Robert M. Chamney,Dublin,,Ireland,
693060351,William Calton,Dublin,,Ireland,
694623012,Shandon Printing Works,Cork,,Ireland,
707695371,Lisburn Herald,Lisburn,Antrim,Ireland,
711177773,I. Pesman,London,,England,
718210473,The Guernsey Press Ltd,Vale,Guernsey,Channel Islands,
726576691,SciPrint,Shannon,Clare,Ireland,
727578027,R. & W. Dean,Manchester,,England,
745061893,C. Whittingham,London,,England,
745810990,Thomas Reilly,Dublin,,Ireland,
752852797,J. Swan,Dumfries,,Scotland,
770271501,Stavely & M'Calla,Philadelphia,,USA,
781904523,Dundalgen Press,Dundalk,Louth,Ireland,
789873510,Folens and Co. Ltd.,Tallaght,Dublin,Ireland,
792145696,S. Y. Griffith,,,,
799294934,Miller and Pople,London,,England,
800889349,Bye and Law,London,,England,
801908907,Wood Printing Works,Dublin,,Ireland,
832291618,Boethius Press,Kilkenny,,Ireland,
832712476,B. Powle,Ross,,Scotland,
843935485,Ballantine and Law,London,,England,
851562860,Simpkin and Co.,London,,England,
852480791,Clays Lts,St Ives,,England,
864672916,W. Blackader,London,,England,
884374628,Joseph Blundell,Dublin,,Ireland,
887652420,James Cumming,Dublin,,Ireland,
906677437,Vanessa Press,,,,
946698013,Pronto Print,Dublin,,Ireland,
954108870,C. Baynes,London,,England,
954837895,Clódóir Lurgan,Inverin,Galway,Ireland,
981251478,The Derry Standard Ltd.,Derry,Derry (Londonderry),Ireland,
981597722,Swiftprint Ltd.,Belfast,,Ireland,
996089377,"Hodges, Figgis, & co",Dublin,,,
1012666859,Doric Printing,Belfast,,Ireland,
1013900993,T. Wallis,London,,England,
1029840385,George Berwick,Belfast,,Ireland,
1033018145,Tradepress,Belfast,,Ireland,
1042131087,The Stevenson Printing Co.,Belfast,,Ireland,
1050056399,Tyrrell,Dublin,,Ireland,
1058465987,Mercury Press Ltd.,Dublin,,Ireland,
1072506412,Genprint,Dublin,,Ireland,
1089727692,Hely's Ltd,Dublin,,Ireland,
1098801524,Cityview Press,Dublin,,Ireland,
1101524996,Duffy Bros.,Belfast,,Ireland,
1108391668,Burney and Gold,London,,England,
1109405287,J. Drewry,Derby,Derbyshire,England,
1114518166,Joseph Smyth,Belfast,,Ireland,
1114705620,Cahill Printers Ltd.,Dublin,,Ireland,
1115385046,J. Raw,Ipswich,Suffolk,England,
1136691486,Dollard Printinghouse,Dublin,,Ireland,
1160913932,J. W. Morris,Dunstable,,England,
1161628703,J. L. Cox,London,,England,
1165478931,R. Cantwell,London,,England,
1170636979,Public Printing-Office,Belfast,,Ireland,
1177441593,Print Shop Ltd,Wexford,Wexford,Ireland,
1186175540,John Shea,Dublin,,Ireland,
1189455021,Edwards & Savage,Cork,,Ireland,
1190204860,T. French,Athy,Kildare,Ireland,
1191019447,T. Garland,London,,England,
1204333559,W. Whittingham,Lynn,,England,
1206897183,Marian Printing Co.,Dublin,,Ireland,
1250996063,"Thos. Brough, Cox and Dunn, Ltd.",Belfast,,Ireland,
1273090266,J. Nichols,London,,England,
1274609789,Thomas Allan & Company,Edinburgh,,Scotland,
1276141664,R.M. Jackson,Dublin,,Ireland,
1281697796,John Stacy,Norwich,Norfolk,England,
1295065950,Forrest Print and Stationery Ltd.,Cork,,Ireland,
1295913724,S. Gosnell,London,,England,
1306926152,179 Great Brunswick Street,Dublin,,Ireland,
1332808697,James Robins and Co.,London,,England,
1336421216,John  Jesse and Co.,Cork,,Ireland,
1342673592,S. Rousseau,London,,England,
1353879972,J. M'Creery,Liverpool,,England,
1383115673,Clodoiri Lurgan Teo.,Indreabhan,Connemara,Ireland,
1384450874,Joyce Gold,London,,England,
1385160842,Burgh Quay,Dublin,,Ireland,
1388024994,B. Smith,Dublin,,Ireland,
1415715284,T. H. Green,London,,England,
1419105519,John C. Spence,London,,England,
1420578778,Cuala Press,Dublin,,Ireland,
1427382313,Mahon's Printing Works,Dublin,,Ireland,
1431895365,Brunswick Press,Dublin,,Ireland,
1432648630,Whitely and Wright Ltd.,Manchester,,England,
1438019703,Maddick & Pottage,London,,England,
1438526900,William Sweeney Ltd.,Belfast,,Ireland,
