publication_id,publisher,printer,notes,season,from_year,from_month,to_year,to_month,edition_subseries
-2053853009,0,0, ,,0,0,0,-1,0
-2052524971,0,0, ,,0,0,0,0,0
-2051574546,0,0, ,,0,-1,0,0,0
-2051539847,0,0, ,,,,,,0
-2050866303,0,0,Published in The Irish Press.,,0,0,0,0,0
-2050584872,0,0, ,,1993,9,1993,9,0
-2048875905,0,0,Published in The Irish Press,,0,0,0,0,0
-2046787361,0,0, ,,0,0,0,-1,0
-2046523581,0,0, ,,,,,,0
-2046233301,0,0, ,,,,,,0
-2044452689,0,0, ,,,,,,0
-2044419147,0,0, ,,0,-1,0,0,0
-2044184908,0,0, ,,0,-1,0,0,0
-2044126084,0,0,"Published under the auspices of the Irish Literary Society, London",,0,0,0,0,0
-2043918702,0,0, ,,0,0,0,0,0
-2043323050,0,0, ,Summer,0,0,0,0,0
-2042755831,0,0, ,,0,0,0,0,0
-2042580887,0,0, ,,0,0,0,0,0
-2042492159,0,0, ,,0,-1,0,0,0
-2041102252,0,0, ,,0,0,0,0,0
-2041016549,0,0, ,,,,,,0
-2039566238,0,0, ,,0,0,0,0,0
-2039463345,0,0, ,,0,-1,0,0,0
-2039292283,0,0, ,,0,0,0,-1,0
-2038654660,0,0, ,,0,-1,0,0,0
-2038230594,0,0, ,,,,,,0
-2037805574,0,0, ,,,,,,0
-2035685141,0,0, ,,0,-1,0,0,0
-2034901215,0,0, ,,0,0,0,0,0
-2034370206,0,0, ,,,,,,0
-2032475366,0,0,yearly volume,,1934,1,1934,12,0
-2030438369,0,0, ,,0,-1,0,0,0
-2029696460,0,0, ,Autumn/Winter,0,0,0,0,0
-2027318722,0,0, ,,0,0,0,0,0
-2024979901,0,0, ,Summer/Autumn,0,0,0,0,0
-2024945054,0,0, ,,0,0,0,0,0
-2021264665,0,0, ,,0,0,0,0,0
-2020096346,0,0, ,,0,0,0,0,0
-2019877890,0,0, ,,,,,,0
-2018887156,0,0, ,,0,-1,0,0,0
-2018154155,0,0,Published in The Irish Press.,,0,0,0,0,0
-2018153042,0,0, ,,,,,,0
-2017528851,0,0, ,Spring,0,0,0,0,0
-2016813306,0,0, ,,0,0,0,0,0
-2016422476,0,0, ,,0,0,0,0,0
-2016296181,0,0,Published in The Irish Press,,0,0,0,0,0
-2016166643,0,0, ,,0,0,0,-1,0
-2015313937,0,0, ,,,,,,0
-2014336734,0,0, ,,0,0,0,0,0
-2013450839,0,0, ,Spring,0,0,0,0,0
-2013130366,0,0, ,,,,,,0
-2012383091,0,0,Published in The Irish Press,,0,0,0,0,0
-2011984201,0,0, ,,1988,0,0,0,0
-2011877576,0,0, ,,0,-1,0,0,0
-2010693156,0,0, ,,0,0,0,0,0
-2009773214,0,0, ,,2005,0,0,0,0
-2009463309,0,0, ,,0,-1,0,0,0
-2008935808,0,0, ,,,,,,0
-2007506331,0,0, ,,0,0,0,0,0
-2006832319,0,0, ,,,,,,0
-2005205838,0,0, ,,,,,,0
-2004740938,0,0, ,Spring,0,0,0,0,0
-2004304668,0,0, ,,0,0,0,-1,0
-2003114635,0,0, ,,0,0,0,0,0
-2003060090,0,0,,,0,0,0,0,0
-2002036344,0,0, ,,0,0,0,0,0
-2001973048,0,0, ,,0,0,0,0,0
-2001853137,0,0, ,,0,0,0,0,0
-2001803689,0,0, ,,,,,,0
-2001107604,0,0, ,Autumn,,,,,0
-2001002885,0,0, ,Summer,0,-1,0,0,0
-2000742642,0,0, ,,0,0,0,0,0
-1999890366,0,0, ,Spring/Summer,0,0,0,0,0
-1997887966,0,0, ,,0,0,0,0,0
-1997444312,0,0, ,,0,0,0,-1,0
-1996957930,0,0, ,,0,0,0,-1,0
-1996901154,0,0,Published in The Irish Press,,0,0,0,0,0
-1996392939,0,0, ,Winter,0,0,0,-1,0
-1996216980,0,0, ,,0,-1,0,0,0
-1996057151,0,0, ,,,,,,0
-1995458576,0,0, ,,1949,0,0,0,0
-1994512370,0,0,Published In The Irish Press,,0,0,0,0,0
-1993156472,0,0, ,,0,0,0,-1,0
-1992733400,0,0, ,,2003,0,0,0,0
-1992349796,0,0, ,Autumn,0,-1,0,0,0
-1992184506,0,0, ,,0,-1,0,0,0
-1992070450,0,0, ,,1880,1,1880,12,0
-1991024028,0,0, ,,,,,,0
-1990842287,0,0, ,,0,0,0,-1,0
-1990319437,0,0, ,,0,0,0,0,0
-1988880016,0,0, ,,0,-1,0,0,0
-1986136240,0,0, ,Winter,0,0,0,0,0
-1985060989,0,0, ,,0,0,0,0,0
-1984305406,0,0,Published in The Irish Press,,0,0,0,0,0
-1983387996,0,0,Published in The Irish Press,,0,0,0,0,0
-1980535239,0,0, ,,,,,,0
-1979419221,0,0, ,,0,-1,0,0,0
-1979240835,0,0, ,,0,0,0,0,0
-1979156556,0,0, ,,0,-1,0,0,0
-1978604345,0,0, ,,0,0,0,-1,0
-1977966200,0,0, ,,0,-1,0,0,0
-1977664088,0,0, ,,1989,0,0,0,0
-1977470647,0,0,Published in The Irish Press,,0,0,0,0,0
-1977443628,0,0, No season given.,,0,0,0,0,0
-1976173299,0,0, ,,0,-1,0,0,0
-1975956168,0,0, ,,1976,1,0,12,0
-1975745732,0,0, ,,0,0,0,0,0
-1975632769,0,0, ,,0,-1,0,0,0
-1975224708,0,0, ,,,,,,0
-1974996851,0,0, ,,0,0,0,0,0
-1974969044,0,0, ,,,,,,0
-1974610860,0,0, ,,0,0,0,0,0
-1974267327,0,0, ,,0,0,0,-1,0
-1973903819,0,0, ,,0,-1,0,0,0
-1973412574,0,0, ,,,,,,0
-1973059317,0,0, ,,0,0,0,0,0
-1972696599,0,0, ,,0,0,0,-1,0
-1972590016,0,0, ,,0,-1,0,0,0
-1971336542,0,0, ,,0,-1,0,0,0
-1971190558,0,0, ,,1981,1,0,12,0
-1970457849,0,0, ,Winter,1977,0,1978,0,0
-1970449426,0,0,No more published [NLI Catalogue],,0,0,0,0,0
-1970138499,0,0, ,,,,,,0
-1969671362,0,0, ,,,,,,0
-1968654908,0,0, ,,0,0,0,0,0
-1967498492,0,0, ,,,,,,0
-1966062127,0,0, ,,,,,,0
-1964892106,0,0, ,,0,-1,0,0,0
-1964262780,0,0, ,,0,0,0,0,0
-1963254713,0,0, ,,0,0,0,0,0
-1962069871,0,0, ,,38,0,39,0,0
-1961805913,0,0, ,,0,0,0,-1,0
-1961383635,0,0, ,,0,-1,0,0,0
-1961377311,0,0, ,,0,0,0,0,0
-1960682642,0,0, ,,,,,,0
-1960308124,0,0, ,,0,-1,0,0,0
-1958677706,0,0, ,,0,0,0,-1,0
-1958389709,0,0, No year given [2000],,0,0,0,0,0
-1957407992,0,0, ,,0,0,0,0,0
-1956712889,0,0, ,,0,0,0,0,0
-1956437825,0,0, ,,,,,,0
-1956327710,0,0, ,,0,0,0,0,0
-1956317637,0,0, ,,0,0,0,0,0
-1955620052,0,0, ,,0,0,0,-1,0
-1954553841,0,0, ,,0,-1,0,0,0
-1954491546,0,0, ,Winter,0,-1,0,0,0
-1951173201,0,0,Published in the Irish Press,,0,0,0,0,0
-1951105570,0,0,Jan-Mar,,,,,,0
-1950270873,0,0, ,,,,,,0
-1950099609,0,0, ,Spring/Earrach,,,,,0
-1949960382,0,0, ,,2002,0,0,0,0
-1949824578,0,0, ,Winter,0,0,0,0,0
-1949599878,0,0, ,,0,0,0,0,0
-1949541668,0,0,Published in The Irish Press.,,0,0,0,0,0
-1949334151,0,0, ,,,,,,0
-1948107251,0,0, ,,0,0,0,0,0
-1947966880,0,0, ,,1977,6,1977,6,0
-1947437900,0,0,June-July edition.,,,,,,0
-1945889658,0,0, ,,,,,,0
-1945112553,0,0, ,,,,,,0
-1944298130,0,0, ,Autumn,0,0,0,0,0
-1944234261,0,0, ,,,,,,0
-1944019187,0,0, ,,0,-1,0,0,0
-1944015957,0,0, ,,,,,,0
-1943843367,0,0,Winter 1993/1994,Winter,,,,,0
-1943792464,0,0, ,Autumn,0,0,0,0,0
-1943097753,0,0, ,,0,-1,0,0,0
-1941085530,0,0, ,Spring,0,-1,0,0,0
-1940932305,0,0,Published in The Irish Press,,0,0,0,0,0
-1939973613,0,0, ,Spring,0,0,0,0,0
-1939266937,0,0, ,,1973,1,0,12,0
-1939014715,0,0, ,,,,,,0
-1939007620,0,0,Published in The Irish Press,,0,0,0,0,0
-1938041735,0,0,No year given [year is 1969]. Published by New Writers Press.,,0,0,0,0,0
-1936580664,0,0, ,,0,-1,0,0,0
-1936047686,0,0,Last issue of the second series,Spring,,,,,0
-1935357089,0,0,Published in The Irish Press,,0,0,0,0,0
-1934948439,0,0,Nov 1973-Feb 1974,,,,,,0
-1934767021,0,0, ,,,,,,0
-1934474005,0,0, ,,,,,,0
-1933982236,0,0, ,,0,0,0,0,0
-1932215757,0,0, ,,0,0,0,0,0
-1931882214,0,0, ,,0,0,0,-1,0
-1931804439,0,0, ,,0,0,0,0,0
-1930658241,0,0, ,,0,-1,0,0,0
-1930569700,0,0, ,,0,0,0,0,0
-1930304288,0,0, ,,0,-1,0,0,0
-1929064964,0,0, ,,0,0,0,0,0
-1927442596,0,0, ,,2003,0,0,0,0
-1927243709,0,0, ,,0,0,0,0,0
-1925639769,0,0, ,,0,-1,0,0,0
-1924622016,0,0,Published in The Irish Press,,0,0,0,0,0
-1924272784,0,0, ,,0,0,0,0,0
-1923394505,0,0, ,,2002,0,0,0,0
-1923156788,0,0, ,,0,0,0,0,0
-1922144887,0,0, ,,0,-1,0,0,0
-1921669058,0,0, ,,0,0,0,-1,0
-1921168962,0,0, ,,0,0,0,-1,0
-1920176614,0,0,Drawings and decoration by Grace Perry,,,,,,0
-1920098526,0,0, ,Winter,0,0,0,-1,0
-1919146665,0,0, ,,0,-1,0,0,0
-1918297585,0,0, ,,0,0,0,0,0
-1916094709,0,0, ,,0,0,0,-1,0
-1916064011,0,0, ,,,,,,0
-1915307403,0,0, ,,,,,,0
-1913779799,0,0, ,,0,0,0,-1,0
-1912093486,0,0, ,,,,,,0
-1910513277,0,0, ,,0,0,0,0,0
-1908135364,0,0, ,,0,0,0,0,0
-1907510042,0,0, ,,0,-1,0,0,0
-1907427747,0,0, ,,,,,,0
-1907062549,0,0, ,,0,0,0,-1,0
-1905811573,0,0, ,,0,0,0,0,0
-1904194625,0,0,Published in The Irish Press,,0,0,0,0,0
-1903649882,0,0, ,Winter,,,,,0
-1903146943,0,0, ,,0,0,0,0,0
-1901718451,0,0, ,,0,-1,0,0,0
-1900471725,0,0,Third series,Autumn/Winter,0,0,0,0,0
-1898156270,0,0, ,,0,-1,0,0,0
-1896853491,0,0, ,Spring,0,0,0,0,0
-1896693748,0,0, ,,,,,,0
