DB_id,company_name,settlement,county,country,notes
-966928188,Figgis,Dublin,Dublin,Ireland,
-961680950,Roberts Brothers,Boston,,USA,
-960876360,De la More Press,London,,England,
-959569864,DuJardin-Sailly Bros.,Brussels,,Belgium,
-958511627,MacLachlan and Stewart,Edinburgh,,Scotland,
-956626323,House of Romance,Toronto,,Canada,
-956228423,Theodore Presser,Bryn Mawr,Pennsylvania,USA,
-956083930,Reprint Society,London,,England,
-955866595,The Mershon Co.,New York,,USA,
-953938707,Arcadia House,New York,,USA,
-953366014,Nafis & Cornish,New York,,USA,
-952326124,Grote Letter Bibliotheek,Abcoude,,Holland,
-951962496,McGee,New York,,USA,
-950748490,R. Bentley,London,,England,
-949499968,William Clowes & Sons,London,,England,
-948060016,Stabenfeldt,Stavanger,,Norway,
-946435163,John B. Perry,Philadelphia,,USA,
-945277136,Alexander Wilkinson,Newry,Down,Ireland,
-944797125,W. Wetton,London,,England,
-944369359,Religious Tract Society,London,,England,
-944058282,Omnigraphics,Detroit,,USA,
-942818354,Millstream Press,Millstreet,Cork,Ireland,
-942491082,Lund University Press,Lund,,Sweden,
-940643367,W. F. Wakeman,Dublin,,Ireland,
-940303888,Wilfrid Laurier University Press,Ontario,,Canada,
-939752418,Goupil,Paris,,France,
-938776075,E. Cox and Son,London,,England,
-938301292,C. Law,London,,England,
-936604609,Andre Deutsch,London,,England,
-934577478,"Dodd, Mead & Co.",New York,,USA,
-933709039,Novello,London,,England,
-931612370,Aran Publishing Group,Bray,Wicklow,Ireland,
-929264882,Windsor,Bath,,England,
-927683880,Spolek Komenského,Prague,,Czech Republic,
-920951624,National Library for the Blind,Bredbury,,England,
-919838749,Dollard,Dublin,,Ireland,
-916294481,Dom Quixote,Lisbon,,Portugal,
-915749947,Areopagus,Vianen,,Holland,
-914215827,Eyre Methuen,London,,England,
-913222643,Taschenbuch,Munich,,Germany,
-912704897,W. Pickering,London,,,
-912620865,Hille,Hamburg,,Germany,
-912295838,KUbK-A,Moscow,,Russia,
-909028042,Carl Hirsch,Konstanz,,Germany,
-907733227,De schatkamer,Geldermalsen,,Holland,
-904629220,Drukarnia Ludowa,Chicago,Illinois,USA,
-903757982,Brown & Patterson,New York,,USA,
-901715795,Hart,Oxford,,England,
-897777549,Baker & Godwin,New York,,USA,
-896351792,Månpocket,Stockholm,,Sweden,
-894724196,Appleton-Century-Crofts,New York,,USA,
-894127581,Leavitt & Allen,New York,,USA,
-891478542,Cargo,Amsterdam,,Holland,
-889993373,Phoenix Poetry Pamphlets,Nimes,,,
-887749298,U. G. E.,Paris,,France,
-887548897,Yollimwon,Seoul,,Korea,
-884534874,Theosophical Publishing Society,London,,England,
-884446113,Hooker & Agnew,Philadelphia,,USA,
-883862356,The John Lane Co.,New York,,USA,
-881586455,Clark & Hope,Belfast,,Ireland,
-879760513,Nákladem Spolku Komenshého,Prague,,Czech Republic,
-879571416,J. Bennett,Plymouth,,England,
-873344123,Mercure de France,Paris,,France,
-872407785,B. Blom,New York,,USA,
-871864733,Biblioteka I. Gorbunova-Posadova',Moscow,,Russia,
-869238872,Práta,Baile Átha Cliath,,Éire,
-869026301,Kartia Moldoveniaske,Kishinev,,Moldova,
-867930481,RB Large Print,Prince Frederick,,USA,
-867343889,Dt. Evangelische Buch-und Tractat-Gesellschaft,Berlin,,Germany,
-865625291,The Lee Press,Cork,,Ireland,
-864828866,H.G. Clarke & Co.,London,,England,
-862418764,Kyowon Munko,Seoul,,Korea,
-861488791,J. and E. Kerby,London,,England,
-860076994,"Bigelow, Smith",New York,,USA,
-859663969,Royal Irish Academy,Dublin,,Ireland,
-858303385,Humphrey Milford,London,,England,
-857476295,The Liffey Press,Dublin,,Ireland,
-855980135,G. W. Hissink,Amsterdam,,,
-855573221,Hor Yezh,Lesneven,,,
-854853111,University of Chicago Press,Chicago,,USA,
-854780785,W. Ridgeway,London,,England,
-854595344,A/B Ljus,Stockholm,,Sweden,
-853490028,Okeanitha,Athens,,Greece,
-851687864,T. Nelson,Nashville,Tennessee,USA,
-848372799,Bergh,Malmö,,Sweden,
-848348642,"H. Fisher, Son, and Co.",London,,England,
-845609711,Lloyd Brothers & Co.,London,,England,
-845100724,O'Brien Press,Dublin,,Ireland,
-842898893,Kriterion,Bucharest,,Romania,
-842816934,C. Hoffmann,Stuttgart,,Germany,
-841931488,Beacon Press,Boston,,USA,
-841603814,T. C. Newby,London,,England,
-840571788,Lymington,London,,England,
-839137644,William Pickering,London,,England,
-838428160,Daamen,The Hague,,Holland,
-838053317,Crown Publishers,New York,,USA,
-836430835,A. Westbrook,Cleveland,Ohio,USA,
-834923376,Glencree Publications,Waterford,,Ireland,
-834589296,Mallings Forlagsboghandel,Christiania,,Norway,
-832723459,Houlston,London,,England,
-830329698,Kynoch Press,Birmingham,,England,
-829080499,W.W. Norton,New York,,USA,
-827009582,Jos. Pelcl,Prague,,Czech Republic,
-825507385,George Philip & Son,London,,England,
-820765622,Espy & Cross,Dublin,,Ireland,
-820063577,Edinburgh University Press,Edinburgh,,Scotland,
-817822517,T. Holmes,London,,England,
-817573345,Michael Winkler,Cologne,,Germany,
-813797684,W. Bryce,Toronto,,Canada,
-813317576,"Clarke, Irwin",Toronto,,Canada,
-811061329,Ad. Donker,Rotterdam,,Holland,
-810283942,Harrigan Press,Worcester,Massachussetts,USA,
-809887054,General Publishing,,Ontario,Canada,
-807891308,Leabhraichean Beaga,Inverness,,Scotland,
-807167771,"De Wolf, Fiske & Co.",,,,
-805722515,Chapman,London,,England,
-802068800,Bardon Enterprises,Portsmouth,Hampshire,England,
-800073073,Mainstream Publishing,Edinburgh,,Scotland,
-796251225,Parsons and Son,London,,England,
-795432357,James Bulcock,London,,England,
-795291007,EMText,San Francisco,,USA,
-793198782,Stiftungsverl.,Potsdam,,Germany,
-793078137,A. Bolton,Sligo,,Ireland,
-792932007,Kent & Co. ltd.,,,,
-792025434,M.H. Gill,,Dublin,,
-791048307,"F. Lucas, Jr.",Baltimore,Maryland,USA,
-790600067,A. Moring,London,,England,
-789919577,Cushing & Appleton,Salem,Massachussetts,USA,
-789507308,Bibliographical Society,London,,England,
-789102144,J.C. Godefroy,Paris,,France,
-788417126,Signet,New York,,USA,
-786240138,Charles Knight,London,,England,
-783306618,G. Routldege,London,,England,
-782489321,Wahlen,Brussels,,Belgium,
-782191575,Newling,Liverpool,,,
-781575041,Sacred Heart Printing,Dublin,,Ireland,
-780423234,Psychic Press,London,,England,
-780007689,Li jiang chu ban she,Beijing,,China,
-779678106,T. Bensley,London,,England,
-779299327,Algemeine Niederlandische Buchhandlung,Brussels,,Belgium,
