title
An tSiúr
Baroness
Comtesse
Countess
Dame
Dowager
Dr
Duchess
Hon.
Hon. Mrs
Lady
Madame
Marchioness
Miss
Mother
Mrs
Ms
Princess
Professor
Reverend
Reverend Mother
Senator
Senator Mrs
Sister
untitled
Vicountess
