DB_id,title,lastname_keyname,alternative_spelling,firstname,firstname_alternative_spelling,middle_names,primary_researcher,male_female,type_of_name,is_alternative_name_of,is_master_name,dob_is_fl,dob_is_circa,birth_year,birth_month,birth_day_of_month,born_settlement,born_county,born_country,dod_is_fl,dod_is_circa,died_year,died_month,died_day_of_month,died_settlement,died_county,died_country,associated_places,education,last_edited,notes,sources,completed
-2129197225,,McGrath,,Mary,,Elizabeth,,female,Maiden,-1000049588,0,0,0,1849,9,1,Clonmel,Waterford,Ireland,0,0,1907,0,0,,,,USA,,2005-06-06 00:00:00,Contributor to the Irish Monthly March 1890 to May 1898.,AC,0
-2128663935,,McChesney,,Dora,,Greenwell,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-06-21 00:00:00,,Dublin Review 1910,0
-2128526280,,Rilke,,Rainer Maria,,,,male,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-11-18 00:00:00,,Poetry Ireland Review 39 (1993),0
-2126870698,Sister,Agnes,,Mary,,,JM,female,Religious,479971017,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-08-19 00:00:00,Contributor to the Irish Monthly 1879-87,AC,0
-2126576584,Mother,Gertrude,,Mary,,,,female,Religious,531749242,0,0,0,1844,0,0,Rathgar,Dublin,Ireland,0,0,1917,2,12,Rathfarnham,Dublin,Ireland,,,2005-06-07 00:00:00,"Contributor to The Annals of St Anthony, The Messenger of the Sacred Heart, and the Irish Rosary.",AC,0
-2125760221,,Nic Gearailt,,Eibhlín,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-06-24 00:00:00,Scholar,"Monica Cullinan, The Private Witness: A Selective Bibliography of Literary Writings by Irish Women 1960-1992. MA Thesis, WERRC, UCD, 1992.",0
-2124818299,,Gleeson,,Martin,,,,male,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-07-22 00:00:00,,,0
-2124718361,,Ní Éigeartaigh,,Aoife,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-01-16 00:00:00,,,0
-2123436590,,Pegge,,Mary,,,,female,,0,0,0,0,0,0,0,Cappoquin,Waterford,Ireland,0,0,0,0,0,,,,Cambridge,,2006-02-02 00:00:00,"Poet. Lived in Cambridge for some time with her husband, poet Denis Pegge. Returned to Ireland and began to publish her work.",Cyphers 29 (1988),0
-2123222999,Mrs,Wright,,Frances,,L.,JM,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,"Fermoy, Co. Cork",,2005-08-19 00:00:00,,Irish Citizen,0
-2122998374,,Hayes,,Catherine,,,,female,,0,0,1,0,1992,0,0,,,,0,0,0,0,0,,,,,,2007-10-22 00:00:00,Playwright,,0
-2122964812,,M.H.G.,,,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-03-14 00:00:00,Contributor to The Irish Monthly 1916,,0
-2122319124,,Moriarty,,Rachael,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,unknown,2005-09-29 00:00:00,,"IFTN, Irish  Film Board",0
-2122136518,,Kelly,,Rita,,E,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-11-07 00:00:00,,,0
-2122075699,,Hughes,,Sarah,,A.,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-03-22 00:00:00,Contributor to The Irish Monthly 1947,,0
-2121725863,,S. Mac O,,,,,,female,Pseudonymn,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-08-19 00:00:00,,Irish Citizen,0
-2120603098,,De Valera,,Sinead,,,JM,female,Married,,0,0,0,1879,0,0,Balbriggan,Dublin,Ireland,0,0,1975,1,7,Dublin,,Ireland,,unknown,2005-08-19 00:00:00,,add in maiden name of Flanagan,0
-2120533710,,Sarkissian,,Adele,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-05-11 00:00:00,,,0
-2120529496,,Scarre,,Annie,,M.,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-06-14 00:00:00,,,0
-2119478177,,MacCarvill,,Eileen,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-08-08 00:00:00,,,0
-2118832761,,Ferrall,,Rose,,Nolan,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-06-22 00:00:00,,,0
-2118753452,,Grimes,,Deirdre,,,,female,,0,0,0,0,0,0,0,Killaloe,Clare,Ireland,0,0,0,0,0,,,,,tertiary,2006-05-16 00:00:00,"Degree in Fine Art, Sculpture",The Burning Bush 2 (1999),0
-2118741574,,Stoney,,Anna,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-05-18 00:00:00,,Cathair na Mart 2002,0
-2116406932,,McCrum,,Elizabeth,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-01-19 00:00:00,,18thC Ireland,0
-2116325343,,Hayes,,Stella,,,,female,,0,0,0,0,0,0,0,,Dublin,Ireland,0,0,0,0,0,,,,,,2007-04-20 00:00:00,Poet,Cork Literary Review 3 (1996); Womens Work anthologies,0
-2115983328,,Carbery,,Ethna,,,JM,female,Pseudonymn,1182868219,0,0,0,1866,12,3,Ballymena,Antrim,Ireland,0,0,1902,4,2,Revlin,Donegal,Ireland,,,2007-04-30 00:00:00,,Field Day; NDNB,0
-2115965060,,Villalba,,Susana,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,Argentina,,2005-12-19 00:00:00,Poet,,0
-2115418453,,Jamie,,Kathleen,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-09-13 00:00:00,Poet,Honest Ulsterman  1981,0
-2114990278,,Ó Murchú,,Helen,,,,female,,,0,0,0,1938,0,0,,Limerick,Ireland,0,0,0,0,0,,,,,tertiary,2005-06-01 00:00:00,,Field Day,0
-2114647496,Mrs,Caffyn,,Mannington,,,,female,Married,-1545596157,0,0,0,1853,0,0,,,,0,0,1926,0,0,,,,,,2007-07-19 00:00:00,,,0
-2114151237,Miss,Conboy,,M.,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-05-18 00:00:00,,Journal of the Old Wexford Society 1970-71,0
-2114150141,,Garnet,,Viola,,,,female,,,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-06-06 00:00:00,Contributor to The Irish Monthly Dec 1879.,AC,0
-2113154908,,Stapleton,,Frank,,,,male,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-10-07 00:00:00,,"IFB, IFTN",0
-2112982535,Miss,Le Fanu,Lefanu,,,,,female,,-1459704616,0,0,0,1791,0,0,,,,0,1,1844,0,0,,,,,,2007-10-08 00:00:00,,,0
-2111856663,,Varian,,Mary,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-06-07 00:00:00,,AC,0
-2111095479,,O'Rourke,,Kealan,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,unknown,2005-09-29 00:00:00,,IFTN,0
-2110774401,Mrs,Manning,,R,,,,female,,0,0,0,0,0,0,0,,,,0,0,1883,0,0,,,,Clonmel,,2005-06-07 00:00:00,,AC,0
-2110723173,,Staunton,,Helen,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-07-29 00:00:00,,,0
-2110572012,,Patterson,,Gertrude,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-06-06 00:00:00,,Threshold 31 (Autumn/Winter 1980),0
-2110455379,,Denison,,Judy,,,,female,,0,0,0,0,1945,0,0,,Yorkshire,England,0,0,0,0,0,,,,"Italy, Japan, Mexico",,2007-04-13 00:00:00,,Womens Work anthologies,0
-2110447944,,Battson,,Jill,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-09-29 00:00:00,Poet,Honest Ulsterman 1994,0
-2110143989,,Lucas,,Anne,,,,female,Published under,0,0,0,0,1955,0,0,,,,0,0,0,0,0,,,,,,2007-07-22 00:00:00,Poet,,0
-2109955070,,Griffith,,Edward,,H,,male,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-08-23 00:00:00,,KR,0
-2109833005,Mrs,Crichton,,,,,JM,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,Ballysodare,,2005-08-08 00:00:00,,Irish Citizen,0
-2109342511,untitled,Ní Arragain,,Deirdre,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-10-07 00:00:00,Filmmaker,IFTN;Irish Film Archive,0
-2108382129,,Colman,,Anne,,,JM,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,Galway,,2005-08-19 00:00:00,,UCG Women's Studies Centre Review,0
-2108028553,,Green,,Alice,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-01-31 00:00:00,Poet,Cyphers 1 (1975),0
-2107507460,,Callaway,,Helen,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-09-11 00:00:00,,,0
-2107275443,Sister,Patricia,,Mary,,Jane,,female,Religious,,0,0,0,1834,0,0,,,,0,0,1870,10,12,Rathfarnham,Dublin,Ireland,,,2005-06-06 00:00:00,Nun.,AC,0
-2106971895,,Anderson,,Karen,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,"Storrs, Connecticut; Montreal.",tertiary,2005-11-18 00:00:00,"Member of Peter Fallon's Writing Workshop at Trinity College, Dublin.",Poetry Ireland Review 42 (1994),0
-2106670808,,Kierman,,Harriet,,,JM,female,,,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-08-19 00:00:00,Hymnist,AC,0
-2105156542,,Maxwell,,Alison,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,Co. Kildare,,2005-11-28 00:00:00,Poet,Poetry Ireland Review 62 (1999),0
-2104664146,,Archibald,,Claire,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-09-13 00:00:00,Poet,Honest Ulsterman,0
-2104474241,,Stephens,,Kathleen,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-05-02 00:00:00,,Catholic Bulletin July 1912,0
-2104100635,,Laurenson,,L.,,O.,JM,female,Published under,1033465765,0,0,0,1892,0,0,,,,0,0,0,0,0,,,,,,2005-08-08 00:00:00,,Irish Citizen,0
-2103359810,,Letts,,W.,,M.,.,female,Published under,-1976383338,0,0,0,1882,0,0,,,,0,0,0,0,0,,,,,,2005-08-31 00:00:00,,Irish Statesman,0
-2103260278,,Kennedy,,Grace,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-06-20 00:00:00,Religious writer,Brown 2,0
-2102319340,,Kelleher,,Margaret,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-10-30 00:00:00,,ILS 10 Year Index,0
-2101854503,,McGrane,,Liz,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-03-28 00:00:00,Poet,The Stinging Fly 1 (1998),0
-2101583135,,Brickenden,,Rachel,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-05-09 00:00:00,,Listowel Writers' Week (2005),0
-2100566579,,Agnew,,Pascale,,,,male,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-02-09 00:00:00,,Cyphers 38 (1993),0
-2100558441,,Kehoe,,Imelda,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-05-17 00:00:00,,,0
-2100141019,,Padel,,Ruth,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,London,,2005-11-18 00:00:00,Poet,,0
-2099749692,,Bashford-Synott,,Marie,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-04-06 00:00:00,Poet,The Salmon 15 (1986),0
-2099551395,,Weinberg,,Robert,,E,,male,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-03-20 00:00:00,,,0
-2099258611,,Toldy,,Csilla,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-05-01 00:00:00,Fiction Writer,Breaking the Skin (2002),0
-2099159855,,Taylor,,Deems,,,,male,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-06-20 00:00:00,,,0
-2098959982,,Shaw,,Helen,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-06-21 00:00:00,,Fortnight no.241 (23 June 1986),0
