language
Afrikaans
Arabic
Armenian
Azerbaijani
Bantu
Bulgarian
Catalan
Chinese
Chuvash
Croatian
Czech
Danish
Dutch
English
Estonian
Finnish
French
Georgian
German
Greek
Hebrew
Hungarian
Icelandic
Indonesian
Irish
Italian
Japanese
Korean
Kyrgyz
Latin
Latvian
Lithuanian
Mongolian
Norwegian
Old English
Persian
Polish
Portuguese
Romanian
Russian
Scots
Scots Gaelic
Serbian
Slovak
Slovenian
Spanish
Swedish
Tajik
Tatar
Thai
Turkish
Uighur
Ukrainian
Uzbek
Vietnamese
Welsh
Yiddish
