publication_id,length_minutes,production_company,country_of_origin,country_of_origin_2,country_of_origin_3,notes,date_video,date_dvd
-1593902676,13,1850564151,Ireland,,,"Produced with the assistance of the Northern Ireland Film Council and BBC Northern Ireland. Released at Cork Film Festival, 1995.",,
-1584159709,0,1220571921,USA,,,Five reels,,
-1577985851,26,1356623193,Ireland,,,,,
-1575033535,84,1360855616,Ireland,,,,,
-1549787049,7,6607463,Ireland,,,Galway Film Fleadh 2000,,
-1542947720,7,-1102080077,,,,"Galway Film Fleadh, 1995",,
-1539420656,60,582635766,Ireland,,,2x30 minute programmes,,
-1530148603,124,1138361709,Ireland,,,"With the assistance of Bord Scannán na hÉirenn/Irish Film Board, The Arts Council of Ireland. In association with Radio Teilifís Éireann.",,
-1529865243,11,627615541,Ireland,,,Network Ireland (distributor) - listed on website,,
-1521613114,0,1153387532,Ireland,,,,,
-1519774616,100,553526629,Ireland,,,,,
-1519340835,10,-1466774364,Ireland,,,With RTÉ and Film Base,,
-1506644784,52,-1465909103,Ireland,,,"With BC Productions; Arts Council; broadcast RTE, 4/9/2001. Poetry by Paula Meehan",0,0
-1503705280,0,1127207579,Ireland,,,,,
-1497909990,10,-1797924093,Ireland,,,,,
-1488120103,14,2012270904,Ireland,,,"Dublin Film Festival, 1992.",,
-1485769670,24,2043453412,Ireland,,,Part of Townlands documentary series.,0,0
-1479023003,8,627615541,Ireland,,,,,
-1472432421,4,627615541,USA,,,,0,0
-1470591008,84,627615541,Ireland,,,,,
-1466954438,40,627615541,USA,,,,0,0
-1465719736,0,486433572,Ireland,,,,0,0
-1464441671,16,-953753551,Ireland,,,16mm.,,
-1458006519,0,-1460569304,USA,,,,,
-1457661500,30,582635766,Ireland,,,,,
-1453410785,52,-963075718,Ireland,,,,,
-1427846273,0,-2043021770,USA,,,Five reels,,
-1427238252,0,1598100415,England,,,,,
-1403711351,0,-317784554,Ireland,,,Arts Council of Ireland production,0,0
-1395921521,6,1860860550,Ireland,,,Animated,,
-1392602397,3,627615541,Ireland,,,,,
-1390222153,10,-258691250,Ireland,,,,,
-1380831909,0,568820994,Ireland,,,16mm.,,
-1361276660,7,627615541,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Frameworks),,
-1359217975,10,-653776152,,,,"Galway Film Fleadh, 16/7/1994.",,
-1353380806,6,627615541,Ireland,,,Cork Film Festival 2001,0,0
-1343350968,0,627615541,Ireland,,,Galway Film Fleadh 2004,0,0
-1343246332,0,1124875313,USA,,,,,
-1333322492,10,-259323305,Ireland,,,Galway Film Fleadh 2000,0,0
-1333164619,23,-953753551,Ireland,,,,,
-1329362682,52,1660582415,Ireland,,,Part of RTE's True Lives documentary series,0,0
-1298534232,28,-1790558839,England,,,,0,0
-1289172777,0,627615541,Ireland,,,"Galway Film Fleadh, 2004",0,0
-1282740265,11,-683541778,Ireland,,,With RTÉ.,,
-1256931978,111,684837225,USA,,,,,
-1240199846,103,1717472093,England,,,Produced by Frontroom and Belfast Film Workshop. With the assistance of Channel Four under the auspices of the Workshop Declaration. 16mm.,,
-1237378549,17,1369784946,Ireland,,,With Leeds Metropolitan University,,
-1236193585,28,1123862726,Ireland,,,Irish Film Centre release. 16mm.,,
-1225652775,4,-2041193416,Ireland,,,,,
-1221786183,5,-953753551,Ireland,,,,,
-1221279465,91,2062883118,Ireland,,,Cork Film Festival,,
-1219773062,16,-953753551,Ireland,,,"Irish Film Centre release 24/6/1994, Galway Film Fleadh 16/7/1994",,
-1210590465,16,-2142866506,Ireland,,,"Galway Film Fleadh, 17/7/1993.",,
-1205184357,3,1047963641,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Short Shorts),,
-1195734696,88,1523546592,USA,,,,,
-1193510180,25,2043453412,Ireland,,,,0,0
-1175319175,0,627615541,Ireland,,,,0,0
