DB_ID,person,manuscript
{04E4E5C2-E6B1-4240-BFB6-8EBB2417D979},-1876144905,{60045E11-255E-42E7-B21A-E239A15D1417}
{1C6C2DF7-9456-49A3-997C-65239FFF81C1},-294306784,{E0D4BC62-596A-4820-B28F-7A94E21C9166}
{32A62DD0-58E2-4809-8766-82705AA22490},,{E0D4BC62-596A-4820-B28F-7A94E21C9166}
{3D24E527-90D7-4379-8C3D-37A67A553EF0},,{E0D4BC62-596A-4820-B28F-7A94E21C9166}
{4CB087A7-7E8C-4B9E-B417-CC0249977F23},1737611460,{21DA139C-D59A-4C60-924F-A7EB254885AC}
{7D2DCAA1-5A4F-4E1D-8069-64B001F60CDD},-1066918553,{F8D6B21A-41BF-4B07-A525-161871B93E98}
{842B948B-5956-4EAB-A91C-7D2E3EBBFD20},1737611460,{60045E11-255E-42E7-B21A-E239A15D1417}
{9B67B048-3A54-420B-9A38-8F7B848FDEDF},,{60045E11-255E-42E7-B21A-E239A15D1417}
{C4074D83-438B-4182-A18C-C27E1EDEB436},,{E0D4BC62-596A-4820-B28F-7A94E21C9166}
{C4B2D882-26F5-4E03-B168-397592B2932B},,{60045E11-255E-42E7-B21A-E239A15D1417}
{D89851C3-DED7-47E2-BF70-8D13CBB4674A},-1044871429,{E0D4BC62-596A-4820-B28F-7A94E21C9166}
{DB2C0257-42F9-4740-A94E-B937F04AABE5},,{E0D4BC62-596A-4820-B28F-7A94E21C9166}
