genre_type





advertisement
advice column
afterword
animation
anthology
anthology - short stories
Appreciation
archaeological
architecture
art criticism
article
Arts and Crafts
autobiography
beauty
belief
bibliography
biography
children's stories
commentary
conference report
cookery book
cooking
correspondence
critical essay
criticism
Cultural
Current Affairs
diaries
discussion
documentary
documentary film
domestic advice
economics
education
Educational commentary
environment
essay
essayist
essays
ethics
experimental
Fashion writing
film - historical
film criticism
film script
folklore
gardening
gastronomy
genealogy
handbook
health
historical novel
historical short story
historiography
history
interview
interviews
introduction
journalism
language
legal
Letter
literary
literary commentary
literary criticism
memoirs
miscellany
music criticism
music review
musical score
mythology
natural history
news
note
novel
novel - extract
novella
novellas
obituary
parenting
philosophy
play
play - contemporary revival
poem
poetry
political
political journalism
political satire
politics
preface
prose poem
psychical work
reference
religious
reminiscence
review
review article
Scientific
self-help
short film
short stories
short story
social commentary
sociology
song
song lyrics
sound recording
speech
spiritualism
sport
sports journalism
survey
tale
television series
the Irish language
theatre criticism
tourism
translation
travel writing
TV drama
writing for children
zoology
